transcript_id,label,text,owner,due_date,notes
transcript_1,decision,"Q3 scope is onboarding flow and Slack integration only — AI summary feature moves to Q4",,,"Explicit group decision after alignment discussion"
transcript_1,decision,"Dashboard performance fix is the number one engineering priority",,,"Priya sets explicit priority"
transcript_1,action,"Ananya owns the dashboard performance fix with target ship date of June 11th",Ananya,2026-06-11,"Clear owner and date stated"
transcript_1,action,"Marcus will review the staging deployment",Marcus,,"Owner stated, no explicit date"
transcript_1,action,"Dan will hold the Hartwell account by offering staging environment access",Dan,,"Implicit deadline — before June 11th"
transcript_1,action,"Backend engineer hiring moving forward — offer to be made this week",Marcus,,"Marcus owns, week of June 1"
transcript_1,action,"Ananya to fix dashboard performance — composite indexes on accounts and events tables",Ananya,2026-06-11,"Explicit owner, explicit date"
transcript_1,action,"Dan to contact Hartwell today and offer staging environment access",Dan,2026-06-01,"Today = June 1"
transcript_1,action,"Leila to update the roadmap doc and share with the team",Leila,2026-06-05,"Thursday EOD — June 5"
transcript_1,action,"Leila to write a one-pager on why AI summary was pushed to Q4",Leila,2026-06-05,"Included with roadmap update"
transcript_1,action,"Dan to put together competitive brief on Slack integration vs Notion and Linear",Dan,2026-06-13,"Friday June 13th explicitly stated"
transcript_1,action,"Ananya to audit product for other potential performance issues and send written summary",Ananya,2026-06-16,"Monday June 16th explicitly stated"
transcript_1,action,"Marcus to send candidate profiles to Priya today",Marcus,2026-06-01,"After the meeting — today"
transcript_1,question,"Will the Hartwell account hold until Wednesday?",,,"Resolved in conversation but worth flagging"
transcript_2,decision,"Organic onboarding abandonment at data import step is a priority fix — needs to be pulled forward",Ravi,,"Ravi frames it as a crisis not a roadmap item"
transcript_2,decision,"Referral incentive to change from $10 credit to one free month",Ravi,,"Explicit decision by Ravi"
transcript_2,decision,"LinkedIn campaign continues running while onboarding fix is scoped",Ravi,,"Implicit — Ravi says do both"
transcript_2,decision,"Quick onboarding fix to be scoped and shipped within two weeks",Sophie,,"Sophie owns scoping, two-week target"
transcript_2,action,"Sophie to set up a call with Leila this week to scope the onboarding fix",Sophie,2026-06-05,"This week — by end of week"
transcript_2,action,"James to build weekly retention view for LinkedIn cohort",James,2026-06-08,"Ready by Monday morning"
transcript_2,action,"Sophie and James to get updated referral programme live with one-month incentive",Sophie,2026-06-30,"By end of June"
transcript_2,action,"Sophie to put together a pricing model for annual plan and present recommendation",Sophie,2026-06-13,"Next Friday"
transcript_2,question,"Should the LinkedIn campaign be paused while onboarding is fixed?",,,"Raised by Fiona, resolved as no — do both"
transcript_2,question,"What would an annual plan look like and what's the revenue impact?",,,"Open — Sophie to model it"
transcript_3,decision,"14-day trial becomes the standard go-to-market motion immediately",Ben,,"Nadia makes it explicit — starting now"
transcript_3,decision,"Burn multiple explained as investment in growth not apologised for",,,"Narrative decision, not operational"
transcript_3,decision,"Product vision reframed as system of record for operational decisions",,,"Chiara's framing adopted"
transcript_3,decision,"Only high-confidence pipeline deals to be shown to Sequoia",Ben,,"Nadia's explicit instruction"
transcript_3,decision,"CFO upgrade to be addressed proactively as post-raise plan",Nadia,,"Explicit — not hidden"
transcript_3,decision,"Data room to be clean and ready by June 13th",Tom,2026-06-13,"Five days before June 18th meeting"
transcript_3,decision,"Preethi assigned to help Tom clean up customer contracts",Kenji,,"Kenji to assign Preethi"
transcript_3,action,"Ben to update sales playbook and brief team on 14-day trial",Ben,2026-06-05,"This week"
transcript_3,action,"Tom to build burn multiple vs NRR slide for the deck",Tom,2026-06-04,"End of day Wednesday"
transcript_3,action,"Chiara to rewrite product vision slide with system-of-record framing",Chiara,2026-06-10,"Before next dry run — Tuesday draft"
transcript_3,action,"Kenji to write technical architecture and moat one-pager",Kenji,2026-06-13,"By next Friday"
transcript_3,action,"Ben to build pipeline slide with high-confidence deals and enterprise pipeline",Ben,2026-06-04,"For Wednesday dry run"
transcript_3,action,"Tom to add why-now section to intro slides",Tom,2026-06-04,"For Wednesday dry run"
transcript_3,action,"Chiara to build competitive landscape slide",Chiara,2026-06-04,"For Wednesday dry run"
transcript_3,action,"Tom to draft CFO language — proactive framing of upgrade plan",Tom,2026-06-02,"By tomorrow morning"
transcript_3,action,"Tom to assemble data room with cap table, financials, customer list, contracts, incorporation docs",Tom,2026-06-13,"June 13th deadline"
transcript_3,action,"Kenji to assign Preethi to help Tom clean contract folder",Kenji,2026-06-02,"Implicit — soon"
transcript_3,action,"Full team dry run scheduled for Wednesday at 2pm",Nadia,2026-06-04,"Wednesday June 4th"
transcript_3,question,"Why now — why hasn't a larger company already solved this?",,,"Identified as a hard unanswered question"
transcript_3,question,"How do we address key-person and CFO-level credibility risk?",,,"Partially resolved but watch for investor probing"
